feature,target,correlation,abs_corr
v4_right_elbow_speed,depth,0.10373241444557257,0.10373241444557257
v4_right_elbow_speed,left_right,0.03180453085990218,0.03180453085990218
v1_vy,angle,0.46676818213124777,0.46676818213124777
v1_vy,depth,0.04678828248584382,0.04678828248584382
v1_vy,left_right,0.05801610463738698,0.05801610463738698
v5_arm_angle,angle,-0.029402355243411074,0.029402355243411074
v5_arm_angle,depth,0.07075559334874944,0.07075559334874944
v5_arm_angle,left_right,0.020433901646552673,0.020433901646552673
v3_rel_vz,angle,-0.32222629618040044,0.32222629618040044
v3_rel_vz,depth,0.1839431894919801,0.1839431894919801
v3_rel_vz,left_right,0.024253264493584108,0.024253264493584108
v4_right_wrist_vz,angle,-0.39259926506963666,0.39259926506963666
v4_right_wrist_vz,depth,0.20089392448490687,0.20089392448490687
v4_right_wrist_vz,left_right,0.025321895824531628,0.025321895824531628
v4_wrist_elbow_ratio,angle,0.10802314788538106,0.10802314788538106
v4_wrist_elbow_ratio,depth,0.1719107199665072,0.1719107199665072
v4_wrist_elbow_ratio,left_right,-0.10993143108825502,0.10993143108825502
v4_elbow_shoulder_ratio,angle,0.1957173015217472,0.1957173015217472
v4_elbow_shoulder_ratio,depth,0.028859650267277718,0.028859650267277718
v4_elbow_shoulder_ratio,left_right,0.0027709011847771767,0.0027709011847771767
v5_arm_extension,angle,-0.43275460444337643,0.43275460444337643
v5_arm_extension,depth,0.08606445810889728,0.08606445810889728
v5_arm_extension,left_right,0.04656807095243304,0.04656807095243304
v1_vx,angle,0.1818785929479618,0.1818785929479618
v1_vx,depth,-0.3736611215297296,0.3736611215297296
v1_vx,left_right,-0.03689254490761474,0.03689254490761474
v6_height_at_release,angle,-0.4620160844589726,0.4620160844589726
v6_height_at_release,depth,0.13356627928401069,0.13356627928401069
v6_height_at_release,left_right,0.032990011382265975,0.032990011382265975
v7_angle_vs_nba_median,angle,-0.6100290693706001,0.6100290693706001
v7_angle_vs_nba_median,depth,0.14841337898048437,0.14841337898048437
v7_angle_vs_nba_median,left_right,0.02905829638778647,0.02905829638778647
v3_rel_speed,angle,0.21366397302541537,0.21366397302541537
v3_rel_speed,depth,-0.023633991405484247,0.023633991405484247
v3_rel_speed,left_right,-0.028206322588737124,0.028206322588737124
v6_avg_curvature,angle,0.2697017293060593,0.2697017293060593
v6_avg_curvature,depth,0.0580790413609829,0.0580790413609829
v6_avg_curvature,left_right,-0.022805079908241647,0.022805079908241647
v2_avg_vx,angle,0.146476738693641,0.146476738693641
v2_avg_vx,depth,-0.35812485848188635,0.35812485848188635
v2_avg_vx,left_right,-0.04417253684916092,0.04417253684916092
v3_launch_angle,angle,-0.5178137099421734,0.5178137099421734
v3_launch_angle,depth,0.33599303422167986,0.33599303422167986
v3_launch_angle,left_right,0.06316681895744884,0.06316681895744884
v6_max_height,angle,-0.5201131946339809,0.5201131946339809
v6_max_height,depth,0.15070169227823488,0.15070169227823488
v6_max_height,left_right,0.03560039459730261,0.03560039459730261
v7_ratio_nba_percentile,angle,-0.4471601336547821,0.4471601336547821
v7_ratio_nba_percentile,depth,0.021196408750248277,0.021196408750248277
v7_ratio_nba_percentile,left_right,0.015457905554698934,0.015457905554698934
