Feature,Pearson r,R²,p-value,N valid
shoulder_tilt,-0.3203747868537903,0.10264000296592712,1.1264840171776314e-09,345
jump_peak_frame,-0.31718724135469833,0.10060774607820365,1.676221957129747e-09,345
head_above_shoulder,0.3019452691078186,0.09117094427347183,1.0519487503302116e-08,345
knee_z_rise,-0.30073896050453186,0.0904439240694046,1.2111335045972282e-08,345
baseline_f153_left_knee_x,0.3003508746623993,0.09021064639091492,1.2671207194614453e-08,345
baseline_f133_right_elbow_y,-0.28935378789901733,0.08372561633586884,4.437065825868558e-08,345
baseline_f133_right_elbow_z,0.2850642800331116,0.08126164227724075,7.13202013002956e-08,345
jump_start_frame,-0.2573488625850646,0.06622843707382647,1.2690967471645016e-06,345
frames_from_peak,-0.2487880367743821,0.0618954872420513,2.8966006702919443e-06,345
elbow_wrist_x_diff,0.24339938163757324,0.05924325808882713,4.7964749683160335e-06,345
baseline_f153_right_hip_x,0.24337409436702728,0.059230949729681015,4.80770268040942e-06,345
baseline_f133_right_wrist_z,0.24030636250972748,0.05774714797735214,6.373499218170764e-06,345
baseline_f153_left_ankle_x,0.21869760751724243,0.04782864451408386,4.183812052360736e-05,345
baseline_f153_mid_hip_x,0.21355342864990234,0.045605067163705826,6.377132376655936e-05,345
wrist_x_release,0.20893681049346924,0.04365459084510803,9.230237628798932e-05,345
right_knee_angle_f153,0.19221258163452148,0.03694567829370499,0.000329700211295858,345
body_sway_x,-0.1908757984638214,0.036433570086956024,0.000363402214134112,345
baseline_f153_right_ankle_y,0.18840739130973816,0.03549734503030777,0.00043420257861725986,345
baseline_f153_left_hip_x,0.17461779713630676,0.03049137443304062,0.0011272913543507457,345
wrist_speed_release,0.17148908972740173,0.02940850704908371,0.0017117597162723541,332
baseline_f153_right_knee_y,0.15956717729568481,0.02546168491244316,0.0029573452193289995,345
baseline_f133_right_wrist_x,0.15468192100524902,0.023926496505737305,0.0039765601977705956,345
left_knee_angle_f153,0.15051701664924622,0.022655371576547623,0.005085615441203117,345
baseline_f133_right_wrist_y,-0.1282373070716858,0.01644480600953102,0.01716735027730465,345
baseline_f153_left_hip_y,0.1265753209590912,0.016021311283111572,0.01867441087961197,345
wrist_z_release,-0.11562100797891617,0.013368217274546623,0.031795237213373184,345
wrist_y_release,-0.11185573041439056,0.012511704117059708,0.037837665528059006,345
baseline_f153_mid_hip_y,0.10964401066303253,0.012021808885037899,0.041821010410785675,345
baseline_f153_left_knee_y,0.09223577380180359,0.008507438004016876,0.08714858442544937,345
baseline_f153_right_hip_y,0.09160386025905609,0.008391267620027065,0.08934462815523148,345
elbow_angle_release,0.08151223510503769,0.006644244305789471,0.1307775378227234,345
wrist_vy_release,-0.07723060995340347,0.005964566953480244,0.16031934320926666,332
baseline_f133_right_shoulder_y,0.0753040611743927,0.005670701619237661,0.16283005475997925,345
release_in_jump_phase,-0.07370904758052226,0.0054330236952276935,0.17194687491648264,345
baseline_f153_left_ankle_y,-0.012532534077763557,0.00015706440899521112,0.816579282283783,345
wrist_vx_release,-0.009916655719280243,9.834006050368771e-05,0.8571422696113586,332
hip_tilt,0.007848038338124752,6.159170879982412e-05,0.8845183849334717,345
baseline_f133_right_shoulder_z,-0.007514835335314274,5.647274883813225e-05,0.8893890976905823,345
